feature_type,feature_id,feature_name,part_id,point_order,point_kind,longitude,latitude
sidewalk,sidewalk_170,,sidewalk_170,3,intersection,-97.06937547461193,36.11973028502511
sidewalk,sidewalk_171,,sidewalk_171,0,intersection,-97.06932569780889,36.12051435761367
sidewalk,sidewalk_171,,sidewalk_171,1,intersection,-97.06898970438846,36.120509331532276
sidewalk,sidewalk_171,,sidewalk_171,2,intersection,-97.0690270369907,36.120715400605896
sidewalk,sidewalk_172,,sidewalk_172,0,intersection,-97.06915770109867,36.120725452741986
sidewalk,sidewalk_172,,sidewalk_172,1,intersection,-97.06915144827688,36.120270871887556
sidewalk,sidewalk_172,,sidewalk_172,2,intersection,-97.06930743769053,36.12028095231441
sidewalk,sidewalk_173,,sidewalk_173,0,intersection,-97.06913272954725,36.12028095231441
sidewalk,sidewalk_173,,sidewalk_173,1,intersection,-97.06888314648543,36.12028599252736
sidewalk,sidewalk_174,,sidewalk_174,0,intersection,-97.07011385754234,36.12029103894996
