feature_type,feature_id,feature_name,part_id,point_order,point_kind,longitude,latitude
sidewalk,sidewalk_087,,sidewalk_087,4,intersection,-97.07131792365112,36.12447158071412
sidewalk,sidewalk_087,,sidewalk_087,5,intersection,-97.07079702955231,36.12450121071137
sidewalk,sidewalk_087,,sidewalk_087,6,intersection,-97.07065029882025,36.12437083863985
sidewalk,sidewalk_087,,sidewalk_087,7,intersection,-97.07063562574704,36.12468491644466
sidewalk,sidewalk_087,,sidewalk_087,8,intersection,-97.07170676009103,36.12466713848926
sidewalk,sidewalk_088,,sidewalk_088,0,intersection,-97.07107637872714,36.12481515631881
sidewalk,sidewalk_088,,sidewalk_088,1,intersection,-97.07110568275483,36.12469088936207
sidewalk,sidewalk_089,,sidewalk_089,0,intersection,-97.07003375680728,36.1248440297561
sidewalk,sidewalk_089,,sidewalk_089,1,intersection,-97.0696987369715,36.12484991251721
sidewalk,sidewalk_089,,sidewalk_089,2,intersection,-97.06943616051846,36.12493016350267
sidewalk,sidewalk_089,,sidewalk_089,3,intersection,-97.06934418117662,36.124941593469565
sidewalk,sidewalk_090,,sidewalk_090,0,intersection,-97.06936538831283,36.12513002005992
sidewalk,sidewalk_090,,sidewalk_090,1,intersection,-97.06929469785881,36.12432492146613
sidewalk,sidewalk_091,,sidewalk_091,0,intersection,-97.06964771518075,36.125687907964554
sidewalk,sidewalk_091,,sidewalk_091,1,intersection,-97.0696264513969,36.12463448228289
sidewalk,sidewalk_092,,sidewalk_092,0,intersection,-97.06981782545145,36.12568218286319
sidewalk,sidewalk_092,,sidewalk_092,1,intersection,-97.06981073121813,36.12462781997641
sidewalk,sidewalk_093,,sidewalk_093,0,intersection,-97.07012287748464,36.12522376595683
sidewalk,sidewalk_093,,sidewalk_093,1,intersection,-97.06966231976554,36.12521231960279
sidewalk,sidewalk_094,,sidewalk_094,0,intersection,-97.07126364352736,36.12617380752463
sidewalk,sidewalk_094,,sidewalk_094,1,intersection,-97.07124947252059,36.126093683980955
sidewalk,sidewalk_094,,sidewalk_094,2,intersection,-97.07088875392087,36.12613367458053
sidewalk,sidewalk_095,,sidewalk_095,0,intersection,-97.07093826431691,36.12662498599836
sidewalk,sidewalk_095,,sidewalk_095,1,intersection,-97.070860067394,36.12646421261883
sidewalk,sidewalk_096,,sidewalk_096,0,intersection,-97.07174530637798,36.12663143559825
sidewalk,sidewalk_096,,sidewalk_096,1,intersection,-97.07072860690899,36.12664866365989
sidewalk,sidewalk_096,,sidewalk_096,2,intersection,-97.07063601516585,36.126700439818926
sidewalk,sidewalk_096,,sidewalk_096,3,intersection,-97.0695501407425,36.12670621006413
sidewalk,sidewalk_097,,sidewalk_097,0,intersection,-97.06957019661023,36.1261300596727
sidewalk,sidewalk_097,,sidewalk_097,1,intersection,-97.06954126377198,36.12670650926203
sidewalk,sidewalk_098,,sidewalk_098,0,intersection,-97.06931944534536,36.12669871943093
sidewalk,sidewalk_098,,sidewalk_098,1,intersection,-97.06833922150965,36.12672200594902
sidewalk,sidewalk_098,,sidewalk_098,2,intersection,-97.06760510207565,36.12682343312885
sidewalk,sidewalk_098,,sidewalk_098,3,intersection,-97.06528683017876,36.1268546414655
sidewalk,sidewalk_098,,sidewalk_098,4,intersection,-97.06445406779669,36.12672167891032
sidewalk,sidewalk_098,,sidewalk_098,5,intersection,-97.06286600930068,36.1266903935705
sidewalk,sidewalk_099,,sidewalk_099,0,intersection,-97.06376655466732,36.1265808947829
sidewalk,sidewalk_099,,sidewalk_099,1,intersection,-97.06352447257952,36.12660435882167
sidewalk,sidewalk_100,,sidewalk_100,0,intersection,-97.06350510601249,36.12669821490662
sidewalk,sidewalk_100,,sidewalk_100,1,intersection,-97.06350510601249,36.12659653747619
sidewalk,sidewalk_101,,sidewalk_101,0,intersection,-97.06379596243738,36.12669050920933
sidewalk,sidewalk_101,,sidewalk_101,1,intersection,-97.06373792627072,36.1266045685432
sidewalk,sidewalk_102,,sidewalk_102,0,intersection,-97.06929972557741,36.12669832199251
sidewalk,sidewalk_102,,sidewalk_102,1,intersection,-97.06929972557741,36.1253635122184
sidewalk,sidewalk_103,,sidewalk_103,0,intersection,-97.06935755568789,36.125635992906766
sidewalk,sidewalk_103,,sidewalk_103,1,intersection,-97.06806268170928,36.125666530232486
sidewalk,sidewalk_104,,sidewalk_104,0,intersection,-97.06774064395675,36.12445008559438
sidewalk,sidewalk_104,,sidewalk_104,1,intersection,-97.06532234876511,36.1245034974859
sidewalk,sidewalk_105,,sidewalk_105,0,intersection,-97.06500116893497,36.12527415073291
sidewalk,sidewalk_105,,sidewalk_105,1,intersection,-97.06514304050191,36.12525887154387
sidewalk,sidewalk_105,,sidewalk_105,2,intersection,-97.0651714148153,36.1245407463042
sidewalk,sidewalk_105,,sidewalk_105,3,intersection,-97.065275667753,36.124517780209445
sidewalk,sidewalk_106,,sidewalk_106,0,intersection,-97.06520089292904,36.12456307902869
sidewalk,sidewalk_106,,sidewalk_106,1,intersection,-97.06516349272351,36.12359636786274
sidewalk,sidewalk_106,,sidewalk_106,2,intersection,-97.0661370961552,36.123535873577055
sidewalk,sidewalk_107,,sidewalk_107,0,intersection,-97.06521884600782,36.12358128465722
sidewalk,sidewalk_107,,sidewalk_107,1,intersection,-97.06520947610836,36.123535873577055
sidewalk,sidewalk_108,,sidewalk_108,0,intersection,-97.0676362800693,36.12339207164987
sidewalk,sidewalk_108,,sidewalk_108,1,intersection,-97.06519073630945,36.12338450312009
sidewalk,sidewalk_109,,sidewalk_109,0,intersection,-97.06760817037092,36.12337693458958
sidewalk,sidewalk_109,,sidewalk_109,1,intersection,-97.06671802992193,36.12276388119506
sidewalk,sidewalk_110,,sidewalk_110,0,intersection,-97.0670272366042,36.12337693458958
sidewalk,sidewalk_110,,sidewalk_110,1,intersection,-97.06738392655694,36.123066071862816
sidewalk,sidewalk_110,,sidewalk_110,2,intersection,-97.06757165811102,36.123088817957736
sidewalk,sidewalk_111,,sidewalk_111,0,intersection,-97.0706598421757,36.12439291637894
sidewalk,sidewalk_111,,sidewalk_111,1,intersection,-97.07061290928718,36.12430951538414
sidewalk,sidewalk_111,,sidewalk_111,2,intersection,-97.06791896148607,36.12433226111879
sidewalk,sidewalk_111,,sidewalk_111,3,intersection,-97.06783490304564,36.123608019586925
sidewalk,sidewalk_111,,sidewalk_111,4,intersection,-97.06802169957996,36.12352503315141
sidewalk,sidewalk_111,,sidewalk_111,5,intersection,-97.0678722623525,36.12335151577548
sidewalk,sidewalk_111,,sidewalk_111,6,intersection,-97.06785358269907,36.12360047536914
sidewalk,sidewalk_112,,sidewalk_112,0,intersection,-97.06987894141841,36.12430459923856
sidewalk,sidewalk_112,,sidewalk_112,1,intersection,-97.06980293277591,36.12415948314993
sidewalk,sidewalk_112,,sidewalk_112,2,intersection,-97.06979602289933,36.12409808780091
sidewalk,sidewalk_112,,sidewalk_112,3,intersection,-97.06961678340879,36.124103656234
sidewalk,sidewalk_112,,sidewalk_112,4,intersection,-97.06960299575566,36.12417604582793
sidewalk,sidewalk_112,,sidewalk_112,5,intersection,-97.06949958835726,36.12429855114254
sidewalk,sidewalk_113,,sidewalk_113,0,intersection,-97.07005041581453,36.12431523584088
sidewalk,sidewalk_113,,sidewalk_113,1,intersection,-97.06932809734755,36.12430967921831
sidewalk,sidewalk_114,,sidewalk_114,0,intersection,-97.06934185579453,36.12430412259533
sidewalk,sidewalk_114,,sidewalk_114,1,intersection,-97.06931433890055,36.12354286152958
sidewalk,sidewalk_114,,sidewalk_114,2,intersection,-97.07004533456846,36.12353729115125
sidewalk,sidewalk_114,,sidewalk_114,3,intersection,-97.07007290422403,36.12429444464635
sidewalk,sidewalk_115,,sidewalk_115,0,intersection,-97.07003844215463,36.12411072424869
sidewalk,sidewalk_115,,sidewalk_115,1,intersection,-97.06933556000173,36.12408845964374
sidewalk,sidewalk_116,,sidewalk_116,0,intersection,-97.06978714227479,36.124110566429344
sidewalk,sidewalk_116,,sidewalk_116,1,intersection,-97.06978714227479,36.12357447512332
sidewalk,sidewalk_117,,sidewalk_117,0,intersection,-97.06962293053913,36.124099513037315
sidewalk,sidewalk_117,,sidewalk_117,1,intersection,-97.06957503544956,36.12354684145163
sidewalk,sidewalk_118,,sidewalk_118,0,intersection,-97.07003345987826,36.12379001742868
sidewalk,sidewalk_118,,sidewalk_118,1,intersection,-97.06935046003964,36.12379001742868
sidewalk,sidewalk_119,,sidewalk_119,0,intersection,-97.07004711987504,36.12372381462214
sidewalk,sidewalk_119,,sidewalk_119,1,intersection,-97.06934540790722,36.12370730573889
sidewalk,sidewalk_120,,sidewalk_120,0,intersection,-97.06957078258434,36.126129025174045
sidewalk,sidewalk_120,,sidewalk_120,1,intersection,-97.06956394229422,36.1255654683889
sidewalk,sidewalk_120,,sidewalk_120,2,intersection,-97.06950237968314,36.12531131400518
sidewalk,sidewalk_120,,sidewalk_120,3,intersection,-97.06940661562149,36.12515108581862
sidewalk,sidewalk_121,,sidewalk_121,0,intersection,-97.07171863368163,36.12354878596555
sidewalk,sidewalk_121,,sidewalk_121,1,intersection,-97.07116457018199,36.12352115981922
sidewalk,sidewalk_121,,sidewalk_121,2,intersection,-97.07116457018199,36.12385267293355
sidewalk,sidewalk_121,,sidewalk_121,3,intersection,-97.07066056505913,36.12385817438443
sidewalk,sidewalk_121,,sidewalk_121,4,intersection,-97.07062681212808,36.12397268202321
sidewalk,sidewalk_121,,sidewalk_121,5,intersection,-97.07052605766667,36.12383704233877
sidewalk,sidewalk_122,,sidewalk_122,0,intersection,-97.0704857558821,36.12380448877963
sidewalk,sidewalk_122,,sidewalk_122,1,intersection,-97.07045888802573,36.12353320859516
sidewalk,sidewalk_122,,sidewalk_122,2,intersection,-97.07010288892873,36.12350065491003
sidewalk,sidewalk_123,,sidewalk_123,0,intersection,-97.07113205262637,36.123532834454586
sidewalk,sidewalk_123,,sidewalk_123,1,intersection,-97.07045599987657,36.12353283445459
sidewalk,sidewalk_124,,sidewalk_124,0,intersection,-97.07172856975855,36.12340969864168
sidewalk,sidewalk_124,,sidewalk_124,1,intersection,-97.07050902362165,36.123393637434454
sidewalk,sidewalk_125,,sidewalk_125,0,intersection,-97.07126461198908,36.12340969864168
sidewalk,sidewalk_125,,sidewalk_125,1,intersection,-97.07122474612505,36.12265832402546
sidewalk,sidewalk_126,,sidewalk_126,0,intersection,-97.07175676383795,36.1233996236362
sidewalk,sidewalk_126,,sidewalk_126,1,intersection,-97.07174346339512,36.123233100420194
sidewalk,sidewalk_126,,sidewalk_126,2,intersection,-97.07160351228967,36.123227717294704
sidewalk,sidewalk_127,,sidewalk_127,0,intersection,-97.07171680604172,36.12286704704524
sidewalk,sidewalk_127,,sidewalk_127,1,intersection,-97.07160381410908,36.12286167823557
sidewalk,sidewalk_128,,sidewalk_128,0,intersection,-97.07135789049099,36.12287778466345
sidewalk,sidewalk_128,,sidewalk_128,1,intersection,-97.07089494688026,36.12285107431522
sidewalk,sidewalk_129,,sidewalk_129,0,intersection,-97.07117237123568,36.12308050034049
sidewalk,sidewalk_129,,sidewalk_129,1,intersection,-97.07040615158735,36.12303248099534
sidewalk,sidewalk_129,,sidewalk_129,2,intersection,-97.07021459667527,36.12295778417782
sidewalk,sidewalk_130,,sidewalk_130,0,intersection,-97.07013553750657,36.12339542552549
sidewalk,sidewalk_130,,sidewalk_130,1,intersection,-97.07015523057225,36.122971236147926
sidewalk,sidewalk_131,,sidewalk_131,0,intersection,-97.07040467607105,36.12310909794704
sidewalk,sidewalk_131,,sidewalk_131,1,intersection,-97.07038498300535,36.1226371853999
sidewalk,sidewalk_132,,sidewalk_132,0,intersection,-97.07089292147796,36.123089556085496
sidewalk,sidewalk_132,,sidewalk_132,1,intersection,-97.07087989741456,36.122647705678006
sidewalk,sidewalk_133,,sidewalk_133,0,intersection,-97.07172391743867,36.122647705678006
sidewalk,sidewalk_133,,sidewalk_133,1,intersection,-97.0701515457482,36.12265288973548
sidewalk,sidewalk_134,,sidewalk_134,0,intersection,-97.0701322922173,36.1226580737926
sidewalk,sidewalk_134,,sidewalk_134,1,intersection,-97.06920812273393,36.12266844190583
sidewalk,sidewalk_135,,sidewalk_135,0,intersection,-97.07174317096957,36.1225388403921
sidewalk,sidewalk_135,,sidewalk_135,1,intersection,-97.0689982113719,36.12255423805169
sidewalk,sidewalk_135,,sidewalk_135,2,intersection,-97.06900454288505,36.12266163890135
sidewalk,sidewalk_135,,sidewalk_135,3,intersection,-97.06925147189747,36.12266163890135
sidewalk,sidewalk_136,,sidewalk_136,0,intersection,-97.06929579248943,36.12342878355454
sidewalk,sidewalk_136,,sidewalk_136,1,intersection,-97.06922624580442,36.122958944358416
sidewalk,sidewalk_137,,sidewalk_137,0,intersection,-97.06970675017367,36.123387928083886
sidewalk,sidewalk_137,,sidewalk_137,1,intersection,-97.0696688156182,36.12329600319719
sidewalk,sidewalk_138,,sidewalk_138,0,intersection,-97.06920095610077,36.12296405132131
sidewalk,sidewalk_138,,sidewalk_138,1,intersection,-97.06899180160343,36.12305108370696
sidewalk,sidewalk_138,,sidewalk_138,2,intersection,-97.06899180160343,36.12266711657357
sidewalk,sidewalk_139,,sidewalk_139,0,intersection,-97.06895377351302,36.123086920543585
sidewalk,sidewalk_139,,sidewalk_139,1,intersection,-97.06851645047314,36.12306132280481
sidewalk,sidewalk_140,,sidewalk_140,0,intersection,-97.06849743642795,36.12305620325605
sidewalk,sidewalk_140,,sidewalk_140,1,intersection,-97.06849743642795,36.122672682017004
sidewalk,sidewalk_140,,sidewalk_140,2,intersection,-97.0681420456033,36.12267268201701
sidewalk,sidewalk_140,,sidewalk_140,3,intersection,-97.068472051369,36.123031517832345
sidewalk,sidewalk_141,,sidewalk_141,0,intersection,-97.06785536795641,36.12335504350891
sidewalk,sidewalk_141,,sidewalk_141,1,intersection,-97.06778553515666,36.12267302356674
sidewalk,sidewalk_142,,sidewalk_142,0,intersection,-97.06902348024339,36.122549951667935
sidewalk,sidewalk_142,,sidewalk_142,1,intersection,-97.0677812783534,36.12253467148733
sidewalk,sidewalk_143,,sidewalk_143,0,intersection,-97.06814069717437,36.122662006234776
sidewalk,sidewalk_143,,sidewalk_143,1,intersection,-97.06778789779521,36.122656917375856
sidewalk,sidewalk_144,,sidewalk_144,0,intersection,-97.07121509176415,36.122534784663046
sidewalk,sidewalk_144,,sidewalk_144,1,intersection,-97.07121509176415,36.12182234005155
sidewalk,sidewalk_144,,sidewalk_144,2,intersection,-97.07170649089939,36.12182234005155
sidewalk,sidewalk_145,,sidewalk_145,0,intersection,-97.07173799084396,36.12200045181054
sidewalk,sidewalk_145,,sidewalk_145,1,intersection,-97.07160580866532,36.1219902830527
sidewalk,sidewalk_146,,sidewalk_146,0,intersection,-97.071354033087,36.1219902830527
sidewalk,sidewalk_146,,sidewalk_146,1,intersection,-97.07126591163461,36.1219902830527
sidewalk,sidewalk_147,,sidewalk_147,0,intersection,-97.0713287995844,36.12233063295054
sidewalk,sidewalk_147,,sidewalk_147,1,intersection,-97.07122817886476,36.12232555311217
sidewalk,sidewalk_148,,sidewalk_148,0,intersection,-97.07130364440451,36.12241699015263
sidewalk,sidewalk_148,,sidewalk_148,1,intersection,-97.07130364440451,36.12232555311217
sidewalk,sidewalk_149,,sidewalk_149,0,intersection,-97.07123446765972,36.12241191031984
sidewalk,sidewalk_149,,sidewalk_149,1,intersection,-97.07132251078943,36.12241191031984
sidewalk,sidewalk_150,,sidewalk_150,0,intersection,-97.07171241607814,36.12234079262631
sidewalk,sidewalk_150,,sidewalk_150,1,intersection,-97.0715620208763,36.12234079262631
sidewalk,sidewalk_151,,sidewalk_151,0,intersection,-97.07123616460562,36.12232560721976
sidewalk,sidewalk_151,,sidewalk_151,1,intersection,-97.07089150893471,36.12233573082445
sidewalk,sidewalk_151,,sidewalk_151,2,intersection,-97.07089777540145,36.12253314085512
sidewalk,sidewalk_152,,sidewalk_152,0,intersection,-97.07111083527073,36.12213325848247
sidewalk,sidewalk_152,,sidewalk_152,1,intersection,-97.06774574262926,36.12213325848247
sidewalk,sidewalk_153,,sidewalk_153,0,intersection,-97.0709204815438,36.12233091224898
sidewalk,sidewalk_153,,sidewalk_153,1,intersection,-97.07090165898106,36.122082577949364
sidewalk,sidewalk_154,,sidewalk_154,0,intersection,-97.07039344978723,36.12253870156953
sidewalk,sidewalk_154,,sidewalk_154,1,intersection,-97.0704186153224,36.122086409753585
sidewalk,sidewalk_155,,sidewalk_155,0,intersection,-97.0701106115154,36.12252306737319
sidewalk,sidewalk_155,,sidewalk_155,1,intersection,-97.07041232953041,36.12210671946417
sidewalk,sidewalk_156,,sidewalk_156,0,intersection,-97.06997816449021,36.122492999235845
sidewalk,sidewalk_156,,sidewalk_156,1,intersection,-97.06997184851824,36.1218399686593
sidewalk,sidewalk_157,,sidewalk_157,0,intersection,-97.06940442104977,36.1225173024965
sidewalk,sidewalk_157,,sidewalk_157,1,intersection,-97.06942354477572,36.121832467093434
sidewalk,sidewalk_158,,sidewalk_158,0,intersection,-97.07113193096117,36.121822168771104
sidewalk,sidewalk_158,,sidewalk_158,1,intersection,-97.06825699749236,36.121832467093434
sidewalk,sidewalk_158,,sidewalk_158,2,intersection,-97.06777252976812,36.12179642295937
sidewalk,sidewalk_159,,sidewalk_159,0,intersection,-97.06816137886257,36.12211567042812
sidewalk,sidewalk_159,,sidewalk_159,1,intersection,-97.06815500428726,36.121832467093434
sidewalk,sidewalk_160,,sidewalk_160,0,intersection,-97.0706112060735,36.12182745690488
sidewalk,sidewalk_160,,sidewalk_160,1,intersection,-97.07062361113303,36.12154187562875
sidewalk,sidewalk_160,,sidewalk_160,2,intersection,-97.07034449729368,36.12155690624813
sidewalk,sidewalk_160,,sidewalk_160,3,intersection,-97.0701025986329,36.121551896041986
sidewalk,sidewalk_160,,sidewalk_160,4,intersection,-97.06997824216698,36.12180804618048
sidewalk,sidewalk_161,,sidewalk_161,0,intersection,-97.0703566227562,36.1218130567182
sidewalk,sidewalk_161,,sidewalk_161,1,intersection,-97.0703566227562,36.121557518887215
sidewalk,sidewalk_162,,sidewalk_162,0,intersection,-97.0700900413341,36.121552511073574
sidewalk,sidewalk_162,,sidewalk_162,1,intersection,-97.06911670916496,36.121552511073574
sidewalk,sidewalk_163,,sidewalk_163,0,intersection,-97.06934706807571,36.12164806386466
sidewalk,sidewalk_163,,sidewalk_163,1,intersection,-97.06935329399222,36.12065229749086
sidewalk,sidewalk_164,,sidewalk_164,0,intersection,-97.06954629740393,36.12153742378013
sidewalk,sidewalk_164,,sidewalk_164,1,intersection,-97.06970837067583,36.12145685902548
sidewalk,sidewalk_164,,sidewalk_164,2,intersection,-97.06985196895384,36.12152746419725
sidewalk,sidewalk_165,,sidewalk_165,0,intersection,-97.06968369658385,36.12142174459478
